date,sales
2022-02-15,82
2022-02-16,79
2022-02-17,153
2022-02-18,86
2022-02-19,61
2022-02-20,67
2022-02-21,76
2022-02-22,79
2022-02-23,69
2022-02-24,74
2022-02-25,82
2022-02-26,53
2022-02-27,64
2022-02-28,80
2022-03-01,83
2022-03-02,71
2022-03-03,70
2022-03-04,86
2022-03-05,66
2022-03-06,63
2022-03-07,72
2022-03-08,79
2022-03-09,75
2022-03-10,87
2022-03-11,74
2022-03-12,65
2022-03-13,71
2022-03-14,86
2022-03-15,79
2022-03-16,86
2022-03-17,87
2022-03-18,83
2022-03-19,70
2022-03-20,66
2022-03-21,90
2022-03-22,83
2022-03-23,75
2022-03-24,86
2022-03-25,77
2022-03-26,75
2022-03-27,70
2022-03-28,72
2022-03-29,89
2022-03-30,85
2022-03-31,88
2022-04-01,84
2022-04-02,75
2022-04-03,64
2022-04-04,89
2022-04-05,86
2022-04-06,74
2022-04-07,74
2022-04-08,82
2022-04-09,64
2022-04-10,57
2022-04-11,77
2022-04-12,83
2022-04-13,79
2022-04-14,98
2022-04-15,80
2022-04-16,75
2022-04-17,78
2022-04-18,81
2022-04-19,80
2022-04-20,81
2022-04-21,83
2022-04-22,81
2022-04-23,61
2022-04-24,70
2022-04-25,81
2022-04-26,97
2022-04-27,89
2022-04-28,81
2022-04-29,86
2022-04-30,70
2022-05-01,73
2022-05-02,72
2022-05-03,75
2022-05-04,77
2022-05-05,82
2022-05-06,62
2022-05-07,61
2022-05-08,74
2022-05-09,75
2022-05-10,83
2022-05-11,83
2022-05-12,84
2022-05-13,85
2022-05-14,71
2022-05-15,74
2022-05-16,78
2022-05-17,75
2022-05-18,83
2022-05-19,82
2022-05-20,157
2022-05-21,64
2022-05-22,67
2022-05-23,92
2022-05-24,80
2022-05-25,88
2022-05-26,82
2022-05-27,79
2022-05-28,60
2022-05-29,63
2022-05-30,78
2022-05-31,73
2022-06-01,82
2022-06-02,87
2022-06-03,144
2022-06-04,57
2022-06-05,58
2022-06-06,81
2022-06-07,76
2022-06-08,82
2022-06-09,90
2022-06-10,91
2022-06-11,65
2022-06-12,60
2022-06-13,75
2022-06-14,92
2022-06-15,87
2022-06-16,80
2022-06-17,81
2022-06-18,64
2022-06-19,68
2022-06-20,80
2022-06-21,84
2022-06-22,84
2022-06-23,74
2022-06-24,81
2022-06-25,70
2022-06-26,66
2022-06-27,80
2022-06-28,73
2022-06-29,73
2022-06-30,77
2022-07-01,73
2022-07-02,67
2022-07-03,121
2022-07-04,62
2022-07-05,81
2022-07-06,78
2022-07-07,70
2022-07-08,75
2022-07-09,59
2022-07-10,52
2022-07-11,73
2022-07-12,74
2022-07-13,72
2022-07-14,69
2022-07-15,67
2022-07-16,55
2022-07-17,53
2022-07-18,76
2022-07-19,80
2022-07-20,77
2022-07-21,72
2022-07-22,67
2022-07-23,61
2022-07-24,59
2022-07-25,78
2022-07-26,71
2022-07-27,80
2022-07-28,71
2022-07-29,66
2022-07-30,51
2022-07-31,56
2022-08-01,58
2022-08-02,71
2022-08-03,63
2022-08-04,60
2022-08-05,61
2022-08-06,42
2022-08-07,34
2022-08-08,56
2022-08-09,68
2022-08-10,60
2022-08-11,65
2022-08-12,65
2022-08-13,42
2022-08-14,46
2022-08-15,49
2022-08-16,66
2022-08-17,66
2022-08-18,60
2022-08-19,59
2022-08-20,41
2022-08-21,48
2022-08-22,61
2022-08-23,40
2022-08-24,54
2022-08-25,50
2022-08-26,48
2022-08-27,47
2022-08-28,40
2022-08-29,58
2022-08-30,56
2022-08-31,48
2022-09-01,46
2022-09-02,53
2022-09-03,37
2022-09-04,37
2022-09-05,53
2022-09-06,67
2022-09-07,61
2022-09-08,56
2022-09-09,54
2022-09-10,38
2022-09-11,43
2022-09-12,54
2022-09-13,60
2022-09-14,56
2022-09-15,66
2022-09-16,53
2022-09-17,110
2022-09-18,42
2022-09-19,56
2022-09-20,50
2022-09-21,57
2022-09-22,49
2022-09-23,54
2022-09-24,50
2022-09-25,36
2022-09-26,54
2022-09-27,48
2022-09-28,58
2022-09-29,50
2022-09-30,56
2022-10-01,44
2022-10-02,37
2022-10-03,58
2022-10-04,56
2022-10-05,61
2022-10-06,58
2022-10-07,62
2022-10-08,37
2022-10-09,31
2022-10-10,45
2022-10-11,46
2022-10-12,53
2022-10-13,56
2022-10-14,51
2022-10-15,26
2022-10-16,36
2022-10-17,53
2022-10-18,56
2022-10-19,65
2022-10-20,45
2022-10-21,60
2022-10-22,44
2022-10-23,39
2022-10-24,59
2022-10-25,56
2022-10-26,60
2022-10-27,52
2022-10-28,52
2022-10-29,31
2022-10-30,45
2022-10-31,55
2022-11-01,49
2022-11-02,53
2022-11-03,62
2022-11-04,60
2022-11-05,38
2022-11-06,52
2022-11-07,59
2022-11-08,63
2022-11-09,61
2022-11-10,59
2022-11-11,63
2022-11-12,52
2022-11-13,44
2022-11-14,66
2022-11-15,58
2022-11-16,73
2022-11-17,57
2022-11-18,76
2022-11-19,40
2022-11-20,45
2022-11-21,66
2022-11-22,166
2022-11-23,77
2022-11-24,64
2022-11-25,80
2022-11-26,45
2022-11-27,59
2022-11-28,69
2022-11-29,76
2022-11-30,63
2022-12-01,76
2022-12-02,83
2022-12-03,63
2022-12-04,69
2022-12-05,75
2022-12-06,72
2022-12-07,87
2022-12-08,95
2022-12-09,88
2022-12-10,73
2022-12-11,71
2022-12-12,87
2022-12-13,78
2022-12-14,83
2022-12-15,95
2022-12-16,81
2022-12-17,70
2022-12-18,80
2022-12-19,90
2022-12-20,90
2022-12-21,88
2022-12-22,94
2022-12-23,96
2022-12-24,70
2022-12-25,67
2022-12-26,81
2022-12-27,95
2022-12-28,94
2022-12-29,107
2022-12-30,93
2022-12-31,77
2023-01-01,64
2023-01-02,80
2023-01-03,78
2023-01-04,75
2023-01-05,80
2023-01-06,80
2023-01-07,64
2023-01-08,70
2023-01-09,81
2023-01-10,74
2023-01-11,78
2023-01-12,148
2023-01-13,85
2023-01-14,67
2023-01-15,50
2023-01-16,85
2023-01-17,87
2023-01-18,77
2023-01-19,81
2023-01-20,85
2023-01-21,66
2023-01-22,68
2023-01-23,88
2023-01-24,83
2023-01-25,78
2023-01-26,92
2023-01-27,81
2023-01-28,71
2023-01-29,69
2023-01-30,82
2023-01-31,94
2023-02-01,177
2023-02-02,86
2023-02-03,92
2023-02-04,74
2023-02-05,78
2023-02-06,98
2023-02-07,90
2023-02-08,89
2023-02-09,86
2023-02-10,84
2023-02-11,67
2023-02-12,73
2023-02-13,99
2023-02-14,97
2023-02-15,90
2023-02-16,106
2023-02-17,90
2023-02-18,86
2023-02-19,88
2023-02-20,97
2023-02-21,91
2023-02-22,93
2023-02-23,97
2023-02-24,206
2023-02-25,88
2023-02-26,84
2023-02-27,103
2023-02-28,98
2023-03-01,93
2023-03-02,101
2023-03-03,105
2023-03-04,83
2023-03-05,76
2023-03-06,94
2023-03-07,98
2023-03-08,107
2023-03-09,109
2023-03-10,93
2023-03-11,85
2023-03-12,80
2023-03-13,91
2023-03-14,103
2023-03-15,100
2023-03-16,101
2023-03-17,99
2023-03-18,86
2023-03-19,86
2023-03-20,105
2023-03-21,95
2023-03-22,105
2023-03-23,105
2023-03-24,102
2023-03-25,85
2023-03-26,84
2023-03-27,100
2023-03-28,101
2023-03-29,92
2023-03-30,114
2023-03-31,107
2023-04-01,96
2023-04-02,89
2023-04-03,97
2023-04-04,104
2023-04-05,173
2023-04-06,96
2023-04-07,111
2023-04-08,88
2023-04-09,92
2023-04-10,98
2023-04-11,197
2023-04-12,95
2023-04-13,96
2023-04-14,89
2023-04-15,75
2023-04-16,94
2023-04-17,108
2023-04-18,98
2023-04-19,114
2023-04-20,99
2023-04-21,112
2023-04-22,96
2023-04-23,81
2023-04-24,105
2023-04-25,107
2023-04-26,97
2023-04-27,84
2023-04-28,105
2023-04-29,79
2023-04-30,84
2023-05-01,101
2023-05-02,103
2023-05-03,98
2023-05-04,101
2023-05-05,107
2023-05-06,72
2023-05-07,75
2023-05-08,153
2023-05-09,100
2023-05-10,88
2023-05-11,96
2023-05-12,89
2023-05-13,86
2023-05-14,79
2023-05-15,98
2023-05-16,108
2023-05-17,94
2023-05-18,100
2023-05-19,102
2023-05-20,88
2023-05-21,80
2023-05-22,95
2023-05-23,95
2023-05-24,98
2023-05-25,105
2023-05-26,94
2023-05-27,65
2023-05-28,85
2023-05-29,95
2023-05-30,98
2023-05-31,85
2023-06-01,99
2023-06-02,107
2023-06-03,79
2023-06-04,88
2023-06-05,101
2023-06-06,97
2023-06-07,96
2023-06-08,94
2023-06-09,101
2023-06-10,85
2023-06-11,82
2023-06-12,93
2023-06-13,82
2023-06-14,101
2023-06-15,104
2023-06-16,102
2023-06-17,95
2023-06-18,81
2023-06-19,106
2023-06-20,93
2023-06-21,92
2023-06-22,97
2023-06-23,106
2023-06-24,79
2023-06-25,71
2023-06-26,101
2023-06-27,95
2023-06-28,97
2023-06-29,90
2023-06-30,95
2023-07-01,70
2023-07-02,89
2023-07-03,100
2023-07-04,94
2023-07-05,98
2023-07-06,89
2023-07-07,99
2023-07-08,75
2023-07-09,74
2023-07-10,86
2023-07-11,94
2023-07-12,91
2023-07-13,99
2023-07-14,84
2023-07-15,77
2023-07-16,81
2023-07-17,105
2023-07-18,91
2023-07-19,87
2023-07-20,90
2023-07-21,96
2023-07-22,80
2023-07-23,72
2023-07-24,96
2023-07-25,88
2023-07-26,92
2023-07-27,90
2023-07-28,85
2023-07-29,65
2023-07-30,78
2023-07-31,95
2023-08-01,80
2023-08-02,78
2023-08-03,71
2023-08-04,84
2023-08-05,63
2023-08-06,60
2023-08-07,82
2023-08-08,69
2023-08-09,70
2023-08-10,72
2023-08-11,79
2023-08-12,61
2023-08-13,63
2023-08-14,82
2023-08-15,79
2023-08-16,86
2023-08-17,81
2023-08-18,74
2023-08-19,55
2023-08-20,58
2023-08-21,78
2023-08-22,71
2023-08-23,78
2023-08-24,193
2023-08-25,79
2023-08-26,54
2023-08-27,59
2023-08-28,69
2023-08-29,62
2023-08-30,71
2023-08-31,79
2023-09-01,67
2023-09-02,59
2023-09-03,62
2023-09-04,76
2023-09-05,68
2023-09-06,68
2023-09-07,72
2023-09-08,73
2023-09-09,60
2023-09-10,60
2023-09-11,87
2023-09-12,80
2023-09-13,69
2023-09-14,84
2023-09-15,65
2023-09-16,50
2023-09-17,60
2023-09-18,70
2023-09-19,57
2023-09-20,80
2023-09-21,75
2023-09-22,71
2023-09-23,54
2023-09-24,54
2023-09-25,59
2023-09-26,66
2023-09-27,67
2023-09-28,129
2023-09-29,67
2023-09-30,45
2023-10-01,56
2023-10-02,73
2023-10-03,67
2023-10-04,78
2023-10-05,72
2023-10-06,68
2023-10-07,47
2023-10-08,58
2023-10-09,75
2023-10-10,69
2023-10-11,73
2023-10-12,82
2023-10-13,78
2023-10-14,44
2023-10-15,53
2023-10-16,72
2023-10-17,73
2023-10-18,74
2023-10-19,76
2023-10-20,73
2023-10-21,58
2023-10-22,64
2023-10-23,75
2023-10-24,67
2023-10-25,159
2023-10-26,90
2023-10-27,72
2023-10-28,47
2023-10-29,63
2023-10-30,78
2023-10-31,80
2023-11-01,70
2023-11-02,69
2023-11-03,79
2023-11-04,63
2023-11-05,50
2023-11-06,73
2023-11-07,86
2023-11-08,82
2023-11-09,76
2023-11-10,70
2023-11-11,56
2023-11-12,157
2023-11-13,75
2023-11-14,77
2023-11-15,85
2023-11-16,89
2023-11-17,79
2023-11-18,66
2023-11-19,62
2023-11-20,80
2023-11-21,78
2023-11-22,80
2023-11-23,80
2023-11-24,91
2023-11-25,70
2023-11-26,65
2023-11-27,82
2023-11-28,86
2023-11-29,76
2023-11-30,84
2023-12-01,103
2023-12-02,87
2023-12-03,80
2023-12-04,97
2023-12-05,89
2023-12-06,106
2023-12-07,114
2023-12-08,97
2023-12-09,93
2023-12-10,99
2023-12-11,100
2023-12-12,103
2023-12-13,105
2023-12-14,107
2023-12-15,106
2023-12-16,87
2023-12-17,93
2023-12-18,103
2023-12-19,108
2023-12-20,106
2023-12-21,96
2023-12-22,114
2023-12-23,88
2023-12-24,100
2023-12-25,114
2023-12-26,110
2023-12-27,112
2023-12-28,113
2023-12-29,108
2023-12-30,93
2023-12-31,98
